reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOGbmOMkok2yLD2LWLih4QCqVlbEDBq_1h6GLsbQDUxNT5CLP9vEZW0KwrsQwuROeucgwSfrJ4ElEGCx5E8,Fumpa Meleka,https://play-lh.googleusercontent.com/a/AATXAJwWa2d3UoriHPYWiDVwM-zFAnkE2_aPuLuGxYFb=mo,This app is super great and easy to use The picture quality and sound is on point I'm just disappointed about how little the series are,5,0,8.21.1 build 12 40185,2022-03-27 16:25:45,,
gp:AOqpTOHwkd8MsOZS8rVHlFME3Iq8pGNd0e_wq1dd8CQweMnHr9sUPpnC7jS5o2yJYQDs6f1Jg5SjBD3wA4e6NsY,Gülbedin Rahimi,https://play-lh.googleusercontent.com/a-/AOh14GgJUAukv1LmJeU2GSUkSrQmVt27Vl7aCfNQzpPr7A,"Thanks netfilix for sell there gift cards in turkey , this feature is allow users who dont have bank acount",5,0,8.22.1 build 22 40193,2022-03-27 16:24:48,,
gp:AOqpTOFfyNqmiqxz3icRTeS6C_9u811lMBLD7RKSmLD-d_MJfIDkCw7N41Ak5C3giABTUIc5xyofTX9zzndEpjg,cindy barbari,https://play-lh.googleusercontent.com/a/AATXAJzvPoS3mNJD1cMFFtUNZnLSRSgvlFL-UggBmzFu=mo,"Very Good! Easy to do Thanks , Cynthia",5,0,8.9.1 build 14 40080,2022-03-27 16:17:03,,
gp:AOqpTOFhkDW8_5OW9rF75BTxBpI-k9Vs66Ihi70JE9XtExfzV0R-MzGdjjC1P9dQEkbW3mD42HfeWhDMeU4VfPY,Chidi Jonah,https://play-lh.googleusercontent.com/a-/AOh14GgDhQl6jX5cS0QyKaZiGP2u8lkhQLx2MAfOgZo9,The app is really nice the experience has been amazing but try working on releasing the said movies at due time it's really annoying when they release a movie online but it hasn't been released on the app...,3,0,8.22.1 build 22 40193,2022-03-27 16:13:27,,
gp:AOqpTOFbI3ojqRvUJKSAo4N7H_Xvm8jg4ytH6mrVlg0v-7zO-Pc85vYEcC27eRXx9dMvfcEeaZysdzvLAT3fbRg,Rabie Mamafa,https://play-lh.googleusercontent.com/a/AATXAJx-Q43os8CYFDx4Sj4UttR1GJNL0rGdjmVSAQ8T=mo,Love the app but I think it needs to be updated and series and movies come in quick,4,0,8.22.1 build 22 40193,2022-03-27 16:05:55,,
gp:AOqpTOFqZm2tmY5kE295QOlz-KYEmaAHCgsgCT_-ophy5N85hOvYM7M2v-PQsmsi7UReSvgdmfRaSXwhO3eiVSk,Myles M isogol,https://play-lh.googleusercontent.com/a/AATXAJxhljM7Q3FbG-OnH__L_vpZ8mL3I2gA3BVI0Ktf=mo,The best thank you Netflix,5,0,8.22.1 build 22 40193,2022-03-27 16:03:16,,
gp:AOqpTOFaTn5lo6mQTBpc7nDRqon1Sn4nBdhHi8y0PzvktifhHTDC2UWMPYKM7aPU-1ZfYq6QwtpE9aO6bWU5C2g,Rest and Refit,https://play-lh.googleusercontent.com/a-/AOh14GiSDT1pzKJ7Mv55_1mH1xb76Oll9D6lbS8nQdZppw,"Prices are soaring, not much worth the value",3,0,8.9.1 build 14 40080,2022-03-27 15:48:51,,
gp:AOqpTOEu9jpCH1MG5EDHfO_CcDnQhXXAqxdhD35K0ZcoDM2P6fSLG6ndtl9M6wr14zuzoYZIkSNSciR-xnoF4LA,Adiran Naidoo,https://play-lh.googleusercontent.com/a/AATXAJygl4vLZRNAq7i3yQkQEQE-xWIeIGwXNCBDwmiU=mo,"Netflix is amazing 👏 ,although I would like it if you could bring back the anime haikyuu",5,0,8.22.1 build 22 40193,2022-03-27 15:48:31,,
gp:AOqpTOE_lv0VZwrYTyfFvV0nYfyZwwdBl5adrSUfY1gtMoUPJ3aKNodNmGGToURUK0QNvnboDIrhut91fvyrdjw,Tshepang Max,https://play-lh.googleusercontent.com/a/AATXAJwUUGgIAj619MZWuyWBlZs_JTaPKz19YvvKS9rb=mo,It's awesome,5,0,,2022-03-27 15:46:13,,
gp:AOqpTOHbobpm32DbMHayRLgIVFxxVl5Vwu-TgTBIIC-i0Y1U_BgOZCaU79KPUGLFe8fTdCTSIbmeMU6VwEZMmrM,Z-COM Soldier,https://play-lh.googleusercontent.com/a-/AOh14GhOzfZ0r_KDPil4o8gPRnglL5wDiC2QXKQ6MI7nAQ,"Please add a new section called ""Last day to watch on Netflix"" on Categories. I've added a lot of Movies & TV Series on ""My List"", but because some of them were permanently removed, I didn't get to watch them on time before they're gone forever. At the very least, please add some kind of label or notify me of list of titles on ""My List"" that are going to be permanently removed for the month. Thanks!",5,183,8.22.1 build 22 40193,2022-03-27 15:43:38,,
gp:AOqpTOHCTNDnOHDNXXXjozNt0DzUKma1U5eKwK87_l9xwmWALDbVHUkZQ9SIZrn86-w6CdILu4vgZzTOKL9iX9g,Jaan Mohammed Khan,https://play-lh.googleusercontent.com/a-/AOh14GgvKSU1EQirHKf4E7qXC2vwlopDw2PNKUvUl9cN1hA,"This is really upsetting I am frequently getting ""can't connect to Netflix"" error on my android device. My WiFi is perfectly fine and all other apps like hotstar and prime are working perfectly fine. This is really not expected from Netflix.",1,0,8.22.1 build 22 40193,2022-03-27 15:42:46,,
gp:AOqpTOHVlm2C_KhpbKxdvwCEN3azBtE6Zm9ISMjqeytmLQXkPN68oarji4tBE3Y_bTf3rLiKVDPgBV8lun8jcWM,Hailey Antonia,https://play-lh.googleusercontent.com/a/AATXAJzuliJRhTDQQmzDQy1WxaixBKDIfalN-4jA0IRx=mo,It's so fun I love it 😊,5,0,8.22.1 build 22 40193,2022-03-27 15:39:02,,
gp:AOqpTOEDkCLsuhuh39yBbep0yEVzOBwKJk_OO8-zOK1wCEIpc6tIxWXCkqLPUW5z2QVZ47742gP9OKJ5S7Ghj0c,said khd,https://play-lh.googleusercontent.com/a/AATXAJyFX_2GWk8AA_KVc9Vjt1U0sy9AHTV_qEbW8VKs=mo,thank you not very mutch,5,0,,2022-03-27 15:33:52,,
gp:AOqpTOFsFkTVcy63GFsbGjLh3MYY0u1_NE2rtmfdLrepezv4kUR6qdvbfY2JVcLndA6x-v3AkvySr23IGcmzmt4,Nigel McFarlane,https://play-lh.googleusercontent.com/a/AATXAJzm2Rsn7RfJ0ifYv3NSykbqrAYCqzE3kfzarcd6=mo,Search not working. No episode info.,1,0,7.15.1 build 24 34317,2022-03-27 15:05:42,,
gp:AOqpTOEJ7IzVg-LT4p1Gw_rt8ygHNv4Dj-9ERoaqa1lGObNdUORSitM0rzF5G2DivSep5gDxcjqPsE3WO-8EGvw,Ashley everson,https://play-lh.googleusercontent.com/a-/AOh14GimmJly27p7-LmQfaV1GiVwpSSTWAIfFkpo0Fem,Netflix is a good app for watching movies,5,0,8.11.1 build 12 40101,2022-03-27 15:04:16,,
gp:AOqpTOGVAi-3UxnGIyTVWEahdHNL_STwVd6OxSTC4isrB6Gu9Sc4JdYmQXkW6QK-B8Zq42k23O2NJbXrIcKOVz8,Ajay Jagtap,https://play-lh.googleusercontent.com/a/AATXAJyERrEAoqGL76m9BM-Bitk7UNU6M5xnFgoxVBjq=mo,Not properly working as like me,1,0,8.22.1 build 22 40193,2022-03-27 14:58:44,,
gp:AOqpTOG7BRiR0dwmMNYGPBMLe7dlhJ8dTTxHJgpsAqnIJTZwhc68LJxaCl5kakClKZOxIS3H8taVLP4S5JtZ5zw,Anshul Reddy,https://play-lh.googleusercontent.com/a-/AOh14Gg9EDXcU0RvToJ8EupfKo5HsIiRgQAqJL6oqCTijg,Good,5,0,,2022-03-27 14:57:00,,
gp:AOqpTOG_AnQJnMWeSDEhWM5wHo0LRyLRd1aVbKnnij1ysxHnV8U2MjgO6JVQ_WwGYq1Shnv-V2zE5pzM5rv0HP0,Joanna jones,https://play-lh.googleusercontent.com/a-/AOh14GjVZx1UJAygXKSwl6awL8laVsRTn56E1ZSv2mJiWHI,Great movies all the time,5,0,8.22.1 build 22 40193,2022-03-27 14:53:30,,
gp:AOqpTOEmptVXv4dhhgVCbDh7e3OGeuluA0SXqb7CK5lwADiJaKMv725h6fpISErCn7WSMJZrXgEPLvO1hq8A8H4,Angie Tyrrell,https://play-lh.googleusercontent.com/a/AATXAJwUV6EhBi8ex346wbhWmZ7_M2r35Pv_bruT564l=mo,Keep raising fees. I would be okay with it if shows were added more frequently. Seem to run across the same ones.,3,0,8.22.1 build 22 40193,2022-03-27 14:50:30,,
gp:AOqpTOFsdqdeUUtaf2ufNZLDJ8UBjWQdU3OjXP2oHVcaN6CygXgni5Y92-QyRQk4wGumyMQAii0aY_xOeJPToFw,Natasha Wahu,https://play-lh.googleusercontent.com/a/AATXAJwyXC4Fjh127Ln9_ObC7_VfKRoeFA3dJvFiV4gk=mo,It's a great app,5,0,4.16.7 build 15235,2022-03-27 14:46:03,,
gp:AOqpTOFJnWeqHNBUEx6dec4GtUv2M-C7gCUcFdEtORUQDCkK5xtkyx6Uefee0fVKjvPJxapLdR3SKmSC9sEh_x4,Odinaka Perpetual,https://play-lh.googleusercontent.com/a/AATXAJyldRaNqsER13cfwTlq0kCeCvKj1jlsoTurYk6O=mo,It's a good app,5,0,,2022-03-27 14:40:33,,
gp:AOqpTOFuSkOeQsYisW5QIVuxBolZEFx8_tSc-oj3l2i-oi5LbTICnQSjeGKAGjXM8LvH8UFmEK8VXuoRlBYbi0Y,Electa Bl4ze,https://play-lh.googleusercontent.com/a-/AOh14GgfmX-qU5zHKa1sk3yOFT3elOMtmIlEuvYYEMuK,Best movie/ series watching.it kind of takes a while to load but i like it,5,0,8.21.1 build 12 40185,2022-03-27 14:37:17,,
gp:AOqpTOH4NTQ_IOvDJQQLCv4dbf9FNU1FODJi_brrllR5O4AcaQH0NjxUZLogdVgG9IeNAD4SiHD8Mg58UYcqzUE,Lathie Joseph,https://play-lh.googleusercontent.com/a/AATXAJxP_IGH6czLedBHIIT4ORIGeif7bFUpbfhamhVW=mo,I like netflix,5,0,,2022-03-27 14:32:57,,
gp:AOqpTOEWcnD7JORrzRX0RwyFHdiWwRygwgjjr15-CtU-fLtlXJvY5R0GbXygnEzQu0JU2BQ2BWl_AKkjHraK-t8,Christine Bales,https://play-lh.googleusercontent.com/a/AATXAJy2tcpLmsHHa1K5c5laviazH0v9huHPGGfVpjq4=mo,It good,5,0,8.22.1 build 22 40193,2022-03-27 14:27:35,,
gp:AOqpTOHMcRlVSeR8FUCgfXu1yG6S3YWBFv6tplbKHXyTmUbQ9RLOkAJoHq0jgLb6Qxte5glg_66Ebh6EXbRkpe8,Rose M&16,https://play-lh.googleusercontent.com/a/AATXAJyuURmL1sgNEQjwVVqC4dN6DOPF1IbxQCPhFhTI=mo,Good,4,0,8.22.1 build 22 40193,2022-03-27 14:19:12,,
gp:AOqpTOGgNj1ObwgXx9MiHFD3mwHps6kL9Yw1qI_vVfMwVb8x2XbCQGQkQUW-SV58xNeBkEkE4Sb0SidRyssuG4g,Bhupinderjit singh,https://play-lh.googleusercontent.com/a-/AOh14Gh_0iZOt786tIDaq5k59T9CTpM4z4mKlOi3t6a7zw,Awesome,5,0,7.49.0 build 19 34761,2022-03-27 14:18:15,,
gp:AOqpTOHBmCofLJxm5dUgpGeRNjGJ6EQ9UOfWIVaNTdtwcsQ8TLnMCRVqHeFwtDbVrPKeJt-VrPbDoNf3lKfyx5U,mwaka donald,https://play-lh.googleusercontent.com/a-/AOh14GgIXywSirEOOMbLu_4dl3XP7c5mymZpnwJ_oO1TMA,Knows the type of movies I want,5,0,8.11.1 build 12 40101,2022-03-27 14:17:19,,
gp:AOqpTOGHIOq6vOBXi1WO5LnnswcuHiTPlujFFkYVOhAAHsOeM5FCUmclgFjzGXvudqKKYpQhts03eSpeCHSB-Ws,Shaik Davood,https://play-lh.googleusercontent.com/a-/AOh14GgVR9J4lz1vd9eVGWNHHGcwPxfUe-2vuNYzuvVNOA,Nice,5,0,7.75.1 build 26 35131,2022-03-27 14:14:02,,
gp:AOqpTOFXd-FqSHi-Olbq4_8OWodP79jGK8F6vgThVI82msuPhhlto_RWt-XasXpzQ9NHPD90H0iNrVduj_QqkzQ,Loretta Deflanders,https://play-lh.googleusercontent.com/a/AATXAJwHUBGPcHNNF6_Ok1qIMLseGc1xiuf_x67N4kZd=mo,I love this app,5,0,,2022-03-27 14:13:33,,
gp:AOqpTOH_68z4sMythAlfRayVklXYeMDuytavDQcpY-PXljzzT5AsvJXvNROwt8IegLmTiF5NkUsEvu-QVqsBPC0,Josiah Bahuaud,https://play-lh.googleusercontent.com/a-/AOh14GjtSAtIuBnTQlboZcDcg4IJwTmLmINzqmdLgjwzMw,Works fine. Good selection.,5,0,8.22.1 build 22 40193,2022-03-27 14:10:07,,
gp:AOqpTOEBVLCpU9uJW59zhYed61uumipdA19VIC1Ee5ycBn2BX0zfm2k74aTPKBpIC_kTBuRyTGXMKQqhMRWT_Hc,Jp Ibrahim,https://play-lh.googleusercontent.com/a/AATXAJw1afFF3o9_WCdF5KKsVp3mkc-xY1F7kurD6S-r=mo,i like it,5,0,,2022-03-27 14:08:51,,
gp:AOqpTOHIqavFaT6tyC6iXA4KUKFvTbESxRLdHGqs1vySTSlQaTeJpXe-j1H_WLE7xPyuNSxMZT00bwHQmK-vi6E,Paulette Blige,https://play-lh.googleusercontent.com/a-/AOh14GiWefYNp11TwSCNd6tpU77EnzweHDUCCoBLRCng,I've had this app for well over 15 years great app love it love it love it,5,0,8.22.1 build 22 40193,2022-03-27 13:56:06,,
